,date,color,numpixel,percentage
4,2/9/2024 1,#79695f,1113052,9.128788475
5,2/9/2024 1,#948f8d,915872,7.511600319140002
6,2/9/2024 1,#abacb0,1325787,10.873552256550768
7,2/9/2024 1,#bcc4ce,1870584,15.341750125976317
8,2/9/2024 1,#d0d8df,1059150,8.686706742882338
9,2/9/2024 1,#e6edf3,758625,6.221925981040564
0,2/9/2024 2,#090d12,654562,5.368444638657932
1,2/9/2024 2,#0d1511,1261456,10.34593621399177
2,2/9/2024 2,#191f1f,1389646,11.397297151885445
3,2/9/2024 2,#344664,108873,0.8929309571050642
4,2/9/2024 2,#4578c0,2946231,24.163758385298564
5,2/9/2024 2,#4f463f,1425048,11.687649596875788
6,2/9/2024 2,#556786,436434,3.579449719702696
7,2/9/2024 2,#5e85bb,512831,4.2060260639749725
8,2/9/2024 2,#689edd,2092603,17.162657404782898
9,2/9/2024 2,#85bbee,1365084,11.195849867724867
0,2/9/2024 3,#070b08,631907,5.182637773473587
1,2/9/2024 3,#09120b,1337496,10.969584593096497
2,2/9/2024 3,#151b18,1234000,10.120753548332912
3,2/9/2024 3,#38547f,167878,1.3768653680608045
4,2/9/2024 3,#4678c0,3295439,27.027816817313344
5,2/9/2024 3,#595756,1674181,13.730934599920214
6,2/9/2024 3,#6084af,96287,0.7897058321785505
7,2/9/2024 3,#639fe5,2411822,19.780758561140505
8,2/9/2024 3,#8fa8bd,496576,4.072709330645838
9,2/9/2024 3,#9ac8ee,847182,6.948233575837742
0,2/9/2024 4,#03040d,397408,3.2593747375493405
1,2/9/2024 4,#080c0d,1446538,11.863901617745864
2,2/9/2024 4,#0d0e0f,1139932,9.349247029058537
3,2/9/2024 4,#0e1213,573493,4.703550498131351
4,2/9/2024 4,#111314,1023901,8.39760914
5,2/9/2024 4,#181718,1378412,11.305160567313346
6,2/9/2024 4,#20231f,1617733,13.26797163695725
7,2/9/2024 4,#424545,1213377,9.951612300012599
8,2/9/2024 4,#7e858d,1808635,14.83367025436718
9,2/9/2024 4,#cbcbc5,1593339,13.067902218757874
0,2/9/2024 5,#0f100e,1541102,12.639476122239019
1,2/9/2024 5,#2a2f2d,1194632,9.797873624758545
2,2/9/2024 5,#4178c3,2809162,23.039575591038886
3,2/9/2024 5,#4a4134,1976464,16.210133744855966
